Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
6,4,4,0.133346612,0.993528617,0.784065899,B + CMS,,Logistic,Logistic
6,4,5,0.140015346,0.988425504,0.788961199,B + CMS,,Logistic,Logistic
6,4,6,0.143270641,0.970659302,0.78111335,B + CMS,,Logistic,Logistic
6,4,7,0.145654005,1.009816407,0.786925977,B + CMS,,Logistic,Logistic
6,4,8,0.148438275,1.004396374,0.784960172,B + CMS,,Logistic,Logistic
6,4,9,0.143525525,1.035796632,0.791073575,B + CMS,,Logistic,Logistic
6,4,10,0.141667393,1.014927523,0.790536189,B + CMS,,Logistic,Logistic
6,5,1,0.134028994,1.071419772,0.798560819,B + CMS,,Logistic,Logistic
6,5,2,0.139816164,1.035680672,0.793859328,B + CMS,,Logistic,Logistic
6,5,3,0.145889229,0.996553413,0.787620966,B + CMS,,Logistic,Logistic
6,5,4,0.140464537,1.023404071,0.790403298,B + CMS,,Logistic,Logistic
6,5,5,0.147470373,0.942872927,0.772871223,B + CMS,,Logistic,Logistic
6,5,6,0.139522902,0.982084448,0.784467678,B + CMS,,Logistic,Logistic
6,5,7,0.147614964,0.995297828,0.781918185,B + CMS,,Logistic,Logistic
6,5,8,0.13473663,1.026938422,0.798789451,B + CMS,,Logistic,Logistic
6,5,9,0.149480041,0.900307537,0.770061826,B + CMS,,Logistic,Logistic
6,5,10,0.144042605,1.006279962,0.783294554,B + CMS,,Logistic,Logistic
7,1,1,0.140056557,0.998415073,0.79109123,B + C,,Cox,Cox
7,1,2,0.139591781,0.99339521,0.795531622,B + C,,Cox,Cox
7,1,3,0.138353581,0.996894984,0.795922192,B + C,,Cox,Cox
7,1,4,0.133979617,1.032544446,0.79998024,B + C,,Cox,Cox
7,1,5,0.131277339,1.034858328,0.798380138,B + C,,Cox,Cox
7,1,6,0.143336625,1.02345963,0.790570274,B + C,,Cox,Cox
7,1,7,0.148060246,0.92468547,0.785910935,B + C,,Cox,Cox
7,1,8,0.143236188,0.965361933,0.782675617,B + C,,Cox,Cox
7,1,9,0.135109111,1.050212754,0.801966516,B + C,,Cox,Cox
7,1,10,0.148450053,0.923118313,0.779342138,B + C,,Cox,Cox
7,2,1,0.143488291,1.009885061,0.797680718,B + C,,Cox,Cox
7,2,2,0.138749981,0.956863853,0.782505473,B + C,,Cox,Cox
7,2,3,0.138552753,1.038866558,0.801476076,B + C,,Cox,Cox
7,2,4,0.143021008,0.948442169,0.780113978,B + C,,Cox,Cox
7,2,5,0.1419049,1.074664615,0.801195794,B + C,,Cox,Cox
7,2,6,0.133813674,0.999718933,0.794289207,B + C,,Cox,Cox
7,2,7,0.140007656,0.968810426,0.793389249,B + C,,Cox,Cox
7,2,8,0.141268061,0.980645452,0.790214954,B + C,,Cox,Cox
7,2,9,0.141546079,0.969477312,0.787696343,B + C,,Cox,Cox
7,2,10,0.142846506,0.974800914,0.788210333,B + C,,Cox,Cox
7,3,1,0.138089282,1.004307517,0.799433984,B + C,,Cox,Cox
7,3,2,0.142275889,0.929171631,0.776212327,B + C,,Cox,Cox
7,3,3,0.140375343,1.053770655,0.796050277,B + C,,Cox,Cox
7,3,4,0.141470346,0.964360887,0.786827413,B + C,,Cox,Cox
7,3,5,0.146716847,0.977115473,0.789729247,B + C,,Cox,Cox
7,3,6,0.144708745,0.941024144,0.782070936,B + C,,Cox,Cox
7,3,7,0.129976491,1.015259343,0.809960727,B + C,,Cox,Cox
7,3,8,0.1329555,1.079918399,0.803728413,B + C,,Cox,Cox
7,3,9,0.144723549,1.019520523,0.797872939,B + C,,Cox,Cox
7,3,10,0.146315277,0.95386151,0.779539074,B + C,,Cox,Cox
7,4,1,0.145135268,0.947267142,0.783738468,B + C,,Cox,Cox
7,4,2,0.138965596,0.992781819,0.787512641,B + C,,Cox,Cox
7,4,3,0.134902437,1.023162528,0.801273043,B + C,,Cox,Cox
7,4,4,0.132491972,0.973188572,0.786793053,B + C,,Cox,Cox
7,4,5,0.1389503,0.987340956,0.793939167,B + C,,Cox,Cox
7,4,6,0.140477931,0.978730584,0.789774289,B + C,,Cox,Cox
7,4,7,0.144100247,1.000128842,0.792646024,B + C,,Cox,Cox
