reps,fold,brier,slope,auc,runtime,model,Model_number
2,4,0.143298429,0.980009653,0.77764453,12.77113938,9,9
2,5,0.142746197,1.105382302,0.798051678,12.75006342,9,9
2,6,0.134291567,1.05956641,0.79245487,10.95095134,9,9
2,7,0.140295946,1.008373628,0.790325689,12.59309697,9,9
2,8,0.141035031,1.030303065,0.787637679,10.98974895,9,9
2,9,0.14223205,0.997623521,0.783942498,12.79212856,9,9
2,10,0.143412314,1.009929629,0.783844432,12.62878346,9,9
3,1,0.138348102,1.048157103,0.793602649,12.66415262,9,9
3,2,0.142857853,0.970696044,0.772691818,10.99696016,9,9
3,3,0.142120515,1.073662219,0.791542847,10.86539602,9,9
3,4,0.142349264,1.002996084,0.781324428,11.29070306,9,9
3,5,0.147599625,1.006648404,0.786195822,12.97737432,9,9
3,6,0.144938585,0.979705695,0.77965714,12.90640092,9,9
3,7,0.129668596,1.0701021,0.805187134,12.75994897,9,9
3,8,0.132736578,1.114888173,0.801602457,14.34947801,9,9
3,9,0.145349291,1.060710891,0.795628344,12.57169485,9,9
3,10,0.147034773,0.985646942,0.777168836,14.24395871,9,9
4,1,0.145211772,0.981311225,0.781822781,12.68571639,9,9
4,2,0.139166868,1.034809129,0.78499549,12.81147337,9,9
